iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment,run_id
44,raw_rsa_keygen,RSA-2048,152.2554170805961,1933.2,12.0,294.0,2026-04-12T13:01:54.969246+00:00,arm64-darwin,1
45,raw_rsa_keygen,RSA-2048,36.20662505272776,1933.2,12.0,294.0,2026-04-12T13:01:54.969251+00:00,arm64-darwin,1
46,raw_rsa_keygen,RSA-2048,70.81187493167818,1933.2,12.0,294.0,2026-04-12T13:01:54.969254+00:00,arm64-darwin,1
47,raw_rsa_keygen,RSA-2048,36.75395809113979,1933.2,12.0,294.0,2026-04-12T13:01:54.969256+00:00,arm64-darwin,1
48,raw_rsa_keygen,RSA-2048,176.9368750974536,1933.2,12.0,294.0,2026-04-12T13:01:54.969257+00:00,arm64-darwin,1
49,raw_rsa_keygen,RSA-2048,110.66629097331317,1933.2,12.0,294.0,2026-04-12T13:01:54.969259+00:00,arm64-darwin,1
50,raw_rsa_keygen,RSA-2048,104.4696670724079,1933.2,12.0,294.0,2026-04-12T13:01:54.969263+00:00,arm64-darwin,1
51,raw_rsa_keygen,RSA-2048,67.62037496082485,1933.2,12.0,294.0,2026-04-12T13:01:54.969264+00:00,arm64-darwin,1
52,raw_rsa_keygen,RSA-2048,314.16170892771333,1933.2,12.0,294.0,2026-04-12T13:01:54.969266+00:00,arm64-darwin,1
53,raw_rsa_keygen,RSA-2048,58.73420799616724,1933.2,12.0,294.0,2026-04-12T13:01:54.969268+00:00,arm64-darwin,1
54,raw_rsa_keygen,RSA-2048,48.94875001627952,1933.2,12.0,294.0,2026-04-12T13:01:54.969270+00:00,arm64-darwin,1
55,raw_rsa_keygen,RSA-2048,123.4734170138836,1933.2,12.0,294.0,2026-04-12T13:01:54.969272+00:00,arm64-darwin,1
56,raw_rsa_keygen,RSA-2048,115.64270791132004,1933.2,12.0,294.0,2026-04-12T13:01:54.969274+00:00,arm64-darwin,1
57,raw_rsa_keygen,RSA-2048,55.00233394559473,1933.2,12.0,294.0,2026-04-12T13:01:54.969276+00:00,arm64-darwin,1
58,raw_rsa_keygen,RSA-2048,97.16933302115648,1933.2,12.0,294.0,2026-04-12T13:01:54.969278+00:00,arm64-darwin,1
59,raw_rsa_keygen,RSA-2048,91.06070804409684,1933.2,12.0,294.0,2026-04-12T13:01:54.969280+00:00,arm64-darwin,1
60,raw_rsa_keygen,RSA-2048,61.14299991168082,1933.2,12.0,294.0,2026-04-12T13:01:54.969282+00:00,arm64-darwin,1
61,raw_rsa_keygen,RSA-2048,85.2572500007227,1933.2,12.0,294.0,2026-04-12T13:01:54.969284+00:00,arm64-darwin,1
62,raw_rsa_keygen,RSA-2048,121.6924999607727,1933.2,12.0,294.0,2026-04-12T13:01:54.969286+00:00,arm64-darwin,1
63,raw_rsa_keygen,RSA-2048,180.8849589433521,1933.2,12.0,294.0,2026-04-12T13:01:54.969288+00:00,arm64-darwin,1
64,raw_rsa_keygen,RSA-2048,95.43220908381043,1933.2,12.0,294.0,2026-04-12T13:01:54.969289+00:00,arm64-darwin,1
65,raw_rsa_keygen,RSA-2048,150.89387504849583,1933.2,12.0,294.0,2026-04-12T13:01:54.969292+00:00,arm64-darwin,1
66,raw_rsa_keygen,RSA-2048,32.1766670094803,1933.2,12.0,294.0,2026-04-12T13:01:54.969294+00:00,arm64-darwin,1
67,raw_rsa_keygen,RSA-2048,100.34474998246878,1933.2,12.0,294.0,2026-04-12T13:01:54.969296+00:00,arm64-darwin,1
68,raw_rsa_keygen,RSA-2048,165.7977499999106,1933.2,12.0,294.0,2026-04-12T13:01:54.969298+00:00,arm64-darwin,1
69,raw_rsa_keygen,RSA-2048,126.41545897349717,1933.2,12.0,294.0,2026-04-12T13:01:54.969300+00:00,arm64-darwin,1
70,raw_rsa_keygen,RSA-2048,236.50412494316697,1933.2,12.0,294.0,2026-04-12T13:01:54.969302+00:00,arm64-darwin,1
71,raw_rsa_keygen,RSA-2048,21.6038340004161,1933.2,12.0,294.0,2026-04-12T13:01:54.969304+00:00,arm64-darwin,1
72,raw_rsa_keygen,RSA-2048,59.93262503761798,1933.2,12.0,294.0,2026-04-12T13:01:54.969306+00:00,arm64-darwin,1
73,raw_rsa_keygen,RSA-2048,97.6667091017589,1933.2,12.0,294.0,2026-04-12T13:01:54.969309+00:00,arm64-darwin,1
74,raw_rsa_keygen,RSA-2048,76.2495839735493,1933.2,12.0,294.0,2026-04-12T13:01:54.969311+00:00,arm64-darwin,1
75,raw_rsa_keygen,RSA-2048,53.329208050854504,1933.2,12.0,294.0,2026-04-12T13:01:54.969313+00:00,arm64-darwin,1
76,raw_rsa_keygen,RSA-2048,28.03374989889562,1933.2,12.0,294.0,2026-04-12T13:01:54.969315+00:00,arm64-darwin,1
77,raw_rsa_keygen,RSA-2048,172.52241692040116,1933.2,12.0,294.0,2026-04-12T13:01:54.969318+00:00,arm64-darwin,1
78,raw_rsa_keygen,RSA-2048,30.265374924056232,1933.2,12.0,294.0,2026-04-12T13:01:54.969320+00:00,arm64-darwin,1
79,raw_rsa_keygen,RSA-2048,116.464791004546,1933.2,12.0,294.0,2026-04-12T13:01:54.969322+00:00,arm64-darwin,1
80,raw_rsa_keygen,RSA-2048,76.24387496616691,1933.2,12.0,294.0,2026-04-12T13:01:54.969324+00:00,arm64-darwin,1
81,raw_rsa_keygen,RSA-2048,135.75808296445757,1933.2,12.0,294.0,2026-04-12T13:01:54.969325+00:00,arm64-darwin,1
82,raw_rsa_keygen,RSA-2048,85.48116707243025,1933.2,12.0,294.0,2026-04-12T13:01:54.969327+00:00,arm64-darwin,1
83,raw_rsa_keygen,RSA-2048,22.023333003744483,1933.2,12.0,294.0,2026-04-12T13:01:54.969329+00:00,arm64-darwin,1
84,raw_rsa_keygen,RSA-2048,119.45650004781784,1933.2,12.0,294.0,2026-04-12T13:01:54.969331+00:00,arm64-darwin,1
85,raw_rsa_keygen,RSA-2048,201.95408398285508,1933.2,12.0,294.0,2026-04-12T13:01:54.969333+00:00,arm64-darwin,1
86,raw_rsa_keygen,RSA-2048,145.4700839240104,1933.2,12.0,294.0,2026-04-12T13:01:54.969335+00:00,arm64-darwin,1
87,raw_rsa_keygen,RSA-2048,187.5834579113871,1933.2,12.0,294.0,2026-04-12T13:01:54.969337+00:00,arm64-darwin,1
88,raw_rsa_keygen,RSA-2048,169.22762501053512,1933.2,12.0,294.0,2026-04-12T13:01:54.969338+00:00,arm64-darwin,1
89,raw_rsa_keygen,RSA-2048,62.03379202634096,1933.2,12.0,294.0,2026-04-12T13:01:54.969340+00:00,arm64-darwin,1
