iteration,operation,algorithm,duration_ms,tracemalloc_peak_bytes,tracemalloc_current_bytes,payload_size_bytes,timestamp,environment,run_id
0,raw_rsa_keygen,RSA-2048,224.33058405295014,1933.4,12.0,294,2026-04-12T13:05:42.059633+00:00,arm64-darwin,2
1,raw_rsa_keygen,RSA-2048,87.64499996323138,1933.4,12.0,294,2026-04-12T13:05:42.059976+00:00,arm64-darwin,2
2,raw_rsa_keygen,RSA-2048,195.84287505131215,1933.4,12.0,294,2026-04-12T13:05:42.059983+00:00,arm64-darwin,2
3,raw_rsa_keygen,RSA-2048,109.97529199812561,1933.4,12.0,294,2026-04-12T13:05:42.059986+00:00,arm64-darwin,2
4,raw_rsa_keygen,RSA-2048,116.71733309049159,1933.4,12.0,294,2026-04-12T13:05:42.059989+00:00,arm64-darwin,2
5,raw_rsa_keygen,RSA-2048,201.2525829486549,1933.4,12.0,294,2026-04-12T13:05:42.059992+00:00,arm64-darwin,2
6,raw_rsa_keygen,RSA-2048,43.34695800207555,1933.4,12.0,294,2026-04-12T13:05:42.059995+00:00,arm64-darwin,2
7,raw_rsa_keygen,RSA-2048,31.141416053287685,1933.4,12.0,294,2026-04-12T13:05:42.059997+00:00,arm64-darwin,2
8,raw_rsa_keygen,RSA-2048,68.78083397168666,1933.4,12.0,294,2026-04-12T13:05:42.060000+00:00,arm64-darwin,2
9,raw_rsa_keygen,RSA-2048,126.65504193864763,1933.4,12.0,294,2026-04-12T13:05:42.060002+00:00,arm64-darwin,2
10,raw_rsa_keygen,RSA-2048,60.801749932579696,1933.4,12.0,294,2026-04-12T13:05:42.060005+00:00,arm64-darwin,2
11,raw_rsa_keygen,RSA-2048,41.44250007811934,1933.4,12.0,294,2026-04-12T13:05:42.060007+00:00,arm64-darwin,2
12,raw_rsa_keygen,RSA-2048,56.8307499634102,1933.4,12.0,294,2026-04-12T13:05:42.060010+00:00,arm64-darwin,2
13,raw_rsa_keygen,RSA-2048,203.1874159583822,1933.4,12.0,294,2026-04-12T13:05:42.060012+00:00,arm64-darwin,2
14,raw_rsa_keygen,RSA-2048,190.47337491065264,1933.4,12.0,294,2026-04-12T13:05:42.060014+00:00,arm64-darwin,2
15,raw_rsa_keygen,RSA-2048,91.79470804519951,1933.4,12.0,294,2026-04-12T13:05:42.060016+00:00,arm64-darwin,2
16,raw_rsa_keygen,RSA-2048,41.26191698014736,1933.4,12.0,294,2026-04-12T13:05:42.060018+00:00,arm64-darwin,2
17,raw_rsa_keygen,RSA-2048,26.20950003620237,1933.4,12.0,294,2026-04-12T13:05:42.060020+00:00,arm64-darwin,2
18,raw_rsa_keygen,RSA-2048,61.97145802434534,1933.4,12.0,294,2026-04-12T13:05:42.060022+00:00,arm64-darwin,2
19,raw_rsa_keygen,RSA-2048,25.43079201132059,1933.4,12.0,294,2026-04-12T13:05:42.060024+00:00,arm64-darwin,2
20,raw_rsa_keygen,RSA-2048,312.2755419462919,1933.4,12.0,294,2026-04-12T13:05:42.060026+00:00,arm64-darwin,2
